station_id,station_name,institution,source_id,department,municipality,status,variables_declared,source_url,station_url,inventory_method,credit
amsclae_barraneche,Barraneche,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_cerro_de_oro,Cerro de Oro,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_concepcion,Concepcion,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_diario,Diario,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_el_tablon,El Tablon,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_finca_santa_victoria,Finca Santa Victoria,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_humedad,Humedad,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_los_saminez,Los Saminez,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_mensual,Mensual,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_nahuala,Nahuala,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_panajachel,Panajachel,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_periodo,Período...,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_precipitacion,Precipitación,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_rad_solar_max_abs,Rad. Solar Max. Abs.,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_radiacion_solar,Radiación Solar,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
amsclae_san_andres_semetabaj,San Andres Semetabaj,AMSCLAE,amsclae_clima,Sololá,,por_verificar,"precipitation, temperature, relative_humidity, wind_speed, wind_direction, solar_radiation, uv_index",https://www.amsclae.gob.gt/clima/,,potential_station_from_select_options,Datos: AMSCLAE. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
