record_id,observed_date,extracted_at_utc,extracted_at_gt,department,station_id,station_name,institution,source_id,variable,value,unit,aggregation_period,data_type,quality_flag,source_url,credit
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_el_capitan_precipitation_accumulated,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_el_capitan,El Capitán,INSIVUMEH,insivumeh_precipitaciones_departamentos,precipitation_accumulated,7.0,mm,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_el_capitan_rain_days,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_el_capitan,El Capitán,INSIVUMEH,insivumeh_precipitaciones_departamentos,rain_days,4,days,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_el_capitan_dry_days,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_el_capitan,El Capitán,INSIVUMEH,insivumeh_precipitaciones_departamentos,dry_days,26,days,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_el_tablon_precipitation_accumulated,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_el_tablon,El Tablón,INSIVUMEH,insivumeh_precipitaciones_departamentos,precipitation_accumulated,80.4,mm,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_el_tablon_rain_days,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_el_tablon,El Tablón,INSIVUMEH,insivumeh_precipitaciones_departamentos,rain_days,11,days,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_el_tablon_dry_days,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_el_tablon,El Tablón,INSIVUMEH,insivumeh_precipitaciones_departamentos,dry_days,19,days,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_santiago_atitlan_precipitation_accumulated,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_santiago_atitlan,Santiago Atitlán,INSIVUMEH,insivumeh_precipitaciones_departamentos,precipitation_accumulated,56.5,mm,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_santiago_atitlan_rain_days,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_santiago_atitlan,Santiago Atitlán,INSIVUMEH,insivumeh_precipitaciones_departamentos,rain_days,5,days,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_insivumeh_precipitaciones_departamentos_insivumeh_santiago_atitlan_dry_days,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,insivumeh_santiago_atitlan,Santiago Atitlán,INSIVUMEH,insivumeh_precipitaciones_departamentos,dry_days,25,days,periodo_publicado_por_fuente,observado_publicado,raw_published,https://insivumeh.gob.gt/img/MAPAS_24H/Sin_Lluvia/Resumen_Departamentos.html,Datos: INSIVUMEH. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_pws_configuradas_vivamos_mejor_pws_complementaria_pws_panajachel_precipitation_accumulated,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,vivamos_mejor_pws_complementaria_pws_panajachel,PWS Panajachel,Vivamos Mejor / PWS complementaria,pws_configuradas,precipitation_accumulated,0.0,mm,wunderground_table:2026-08-01_to_2026-08-01,observado_publicado,pws_complementaria_rendered_table,https://www.wunderground.com/dashboard/pws/IPANAJ5/table/2026-08-01/2026-08-01/monthly,Datos: Weather Underground / estación PWS pública. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
2026-08-01_pws_configuradas_pws_complementaria_pws_santa_catarina_palopo_precipitation_accumulated,2026-08-01,2026-08-01T13:56:23.407483+00:00,2026-08-01T07:56:23.407483-06:00,Sololá,pws_complementaria_pws_santa_catarina_palopo,PWS Santa Catarina Palopó,PWS complementaria,pws_configuradas,precipitation_accumulated,0.0,mm,ambientweather_lastData:dailyrainin,observado_publicado,pws_complementaria_ambientweather_api,https://ambientweather.net/dashboard/4bd244f9e8c5b0cb889ba4cbb1a463c3/graphs,Datos: Ambient Weather / estación PWS pública. Visualización y procesamiento: Mesa Técnica Agroclimática de Sololá.
